지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
90,속초,2023-01-01,3.2,.3,2315,7.3,1346,,3,21.8
90,속초,2023-01-02,-.5,-5.1,348,4.2,1537,,1.4,24.3
90,속초,2023-01-03,0,-5.1,754,5.6,1221,,1.9,18.3
90,속초,2023-01-04,.7,-2.7,715,5,1300,,2.1,15.6
90,속초,2023-01-05,2.5,-1.6,2,7,1424,,2.2,23.8
90,속초,2023-01-06,3.5,-1.4,224,8.4,1333,,1.6,36.4
90,속초,2023-01-07,2.5,0,2331,6.7,1235,3,1.7,66.3
90,속초,2023-01-08,3.8,-2.2,532,9.1,1437,,1.9,40
90,속초,2023-01-09,5.2,1.7,1903,10.2,1043,,2.7,46.4
90,속초,2023-01-10,3.6,-1.7,606,9.5,1354,,1.8,45.4
90,속초,2023-01-11,8,.8,148,12.9,1505,,1.6,26.4
90,속초,2023-01-12,9.6,4,2121,15.1,1345,,1.5,34.6
90,속초,2023-01-13,6.1,4.1,819,9,314,14.5,1.5,87.1
90,속초,2023-01-14,3.8,0,1941,7,25,29.5,3,90.8
90,속초,2023-01-15,-.2,-2,2315,1.8,1,47.7,1.3,93.3
90,속초,2023-01-16,-2.6,-6.8,2158,1.1,1414,0,1.4,73.6
90,속초,2023-01-17,-2.7,-8,412,.9,1445,,2,53
90,속초,2023-01-18,-2.6,-6.9,2338,1.2,1247,,1.3,57
90,속초,2023-01-19,.3,-6.3,23,3.7,1537,,1.7,48.9
90,속초,2023-01-20,-1.1,-5.6,2359,3.6,408,0,3.6,29.6
90,속초,2023-01-21,-4.1,-9,815,.8,1221,,1.3,32.3
90,속초,2023-01-22,-.7,-4.8,7,3.6,1543,,1.2,57
90,속초,2023-01-23,.8,-2.4,2400,4.7,1054,,2,57.9
90,속초,2023-01-24,-11.3,-15.1,2124,-2.4,1,,2.6,28.3
90,속초,2023-01-25,-9.7,-16,652,-3.3,1335,,2,31.5
90,속초,2023-01-26,-4.1,-7.9,2,-1,1439,,2.1,51.5
90,속초,2023-01-27,-5.7,-8.9,2355,-2.5,1319,,2.2,38.4
90,속초,2023-01-28,-5.4,-11,653,-.8,1542,,2.3,32.9
90,속초,2023-01-29,-1.3,-6.3,232,3.3,1408,0,1.7,45.1
90,속초,2023-01-30,-.2,-3.7,650,3.6,1400,,2.1,33.5
90,속초,2023-01-31,3.9,-2.8,549,8.3,1432,,2.4,45.4
90,속초,2023-02-01,3.2,-2,2317,7.1,18,,2.9,37
90,속초,2023-02-02,-2.2,-6.4,701,1.3,1240,,1.4,56.4
90,속초,2023-02-03,-1.2,-4,52,1.7,1223,,1.9,50.1
90,속초,2023-02-04,.9,-4.1,618,5.1,1528,,1.9,27.6
90,속초,2023-02-05,3.7,-2.1,351,8.2,1440,,1.5,31.9
90,속초,2023-02-06,5,.6,523,10.1,1544,,1.1,42.4
90,속초,2023-02-07,2.6,-.4,712,5.5,1418,,1.7,68
90,속초,2023-02-08,1.2,-1.9,746,5.6,1146,,1.9,69.1
90,속초,2023-02-09,2.2,-1.6,221,5.2,1414,,1.6,59.1
90,속초,2023-02-10,1.4,-.5,2156,3.6,1236,2.7,1.5,87.9
90,속초,2023-02-11,3.7,-1,200,7.4,1352,,1.2,67.5
90,속초,2023-02-12,4.4,.4,455,7.2,1119,1.4,1.6,63
90,속초,2023-02-13,1.4,0,1532,5.6,240,26,1.6,87.8
90,속초,2023-02-14,-.8,-4.4,2200,1.6,1344,.9,2.3,64.4
90,속초,2023-02-15,-1.2,-3.2,416,0,1112,4.1,1.5,80.3
90,속초,2023-02-16,1.4,-4.5,642,6.3,1522,,1.5,63
90,속초,2023-02-17,5.5,1.1,725,9.8,1430,,2,41.6
90,속초,2023-02-18,5.8,1.4,51,8.8,2336,,1,57.9
90,속초,2023-02-19,5.8,1.5,2350,10.3,1358,,3.3,35
90,속초,2023-02-20,.5,-2.3,2359,4.8,1300,,3.5,30.1
90,속초,2023-02-21,-2,-5.8,704,1.5,1306,,1.6,44.4
90,속초,2023-02-22,3.7,-5.6,325,8.6,1344,,1.6,37.6
90,속초,2023-02-23,5.9,2.7,544,9.7,1148,,1.6,40.8
90,속초,2023-02-24,3.4,-1.1,2345,8.8,1028,,2.2,52.8
90,속초,2023-02-25,-.7,-3.9,2134,1.6,259,8.3,1.6,73.6
90,속초,2023-02-26,2.5,-3.7,1,7.7,1248,,2,46.5
90,속초,2023-02-27,8.7,-.6,432,15.6,1626,,1.6,29
90,속초,2023-02-28,9.7,6.6,655,14.9,1519,,3.3,24.5
90,속초,2023-03-01,7.2,4.1,2342,10.6,1122,,2.5,40.1
90,속초,2023-03-02,2.5,-.3,706,4.4,1435,0,2.3,35.6
90,속초,2023-03-03,8.7,2,504,14.2,1431,,2,29.4
