,0
0,125.975
1,126.025
2,126.075
3,126.125
4,126.175
5,126.225
6,126.275
7,126.325
8,126.375
9,126.425
10,126.475
11,126.525
12,126.575
13,126.625
14,126.675
15,126.725
16,126.775
17,126.825
18,126.875
19,126.925
20,126.975
21,127.025
22,127.075
23,127.125
24,127.175
25,127.225
26,127.275
27,127.325
28,127.375
29,127.425
30,127.475
31,127.525
32,127.575
33,127.625
34,127.675
35,127.725
36,127.775
37,127.825
38,127.875
39,127.925
40,127.975
41,128.025
42,128.075
43,128.125
44,128.175
45,128.225
46,128.275
47,128.325
48,128.375
49,128.425
50,128.475
51,128.525
52,128.575
53,128.625
54,128.675
55,128.725
56,128.775
57,128.825
58,128.875
59,128.925
60,128.975
61,129.025
62,129.075
63,129.125
64,129.175
65,129.225
66,129.275
67,129.325
68,129.375
69,129.425
70,129.475
71,129.525
72,129.575
73,129.625
74,129.675
75,129.725
76,129.775
77,129.825
78,129.875
79,129.925
80,129.975
81,130.025
82,130.075
83,130.125
84,130.175
85,130.225
86,130.275
87,130.325
88,130.375
89,130.425
90,130.475
91,130.525
92,130.575
93,130.625
94,130.675
95,130.725
96,130.775
97,130.825
98,130.875
99,130.925
100,130.975
101,131.025
102,131.075
103,131.125
104,131.175
105,131.225
106,131.275
107,131.325
108,131.375
109,131.425
110,131.475
111,131.525
112,131.575
113,131.625
114,131.675
115,131.725
116,131.775
117,131.825
118,131.875
119,131.925
120,131.975
121,132.025
122,132.075
123,132.125
124,132.175
125,132.225
126,132.275
127,132.325
128,132.375
129,132.425
130,132.475
131,132.525
132,132.575
133,132.625
134,132.675
135,132.725
136,132.775
137,132.825
138,132.875
139,132.925
140,132.975
141,133.025
142,133.075
143,133.125
144,133.175
145,133.225
146,133.275
147,133.325
148,133.375
149,133.425
150,133.475
151,133.525
152,133.575
153,133.625
154,133.675
155,133.725
156,133.775
157,133.825
158,133.875
159,133.925
160,133.975
161,134.025
162,134.075
